split,model,evaluation_regime,comparison_population,aggregation,n_folds,n_expected,n_actual,n_predicted,n_scored,coverage,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n,strategy
development,NeuralNet,conditional,common,global,12,2393,2393,2393,2393,1.0,12.404831322179419,20.580284688443236,69.15955148690036,0.30241815597277194,0.3700623363915965,0.561182270790441,0.34406498456663526,0.008387981703661018,2393.0,direct
development,Chronos2,conditional,common,global,12,2393,2393,2393,2393,1.0,15.301034721678587,24.342077446257885,93.67542472085573,0.3730248791639689,0.4348989327423541,0.6676685857631504,3.1790224588719362,0.07750158666721554,2393.0,direct
recent_benchmark,NeuralNet,conditional,common,global,4,840,840,840,840,1.0,7.543324696965631,12.242904126243182,58.70562983009477,0.26457859390584704,0.4007804967391674,0.5293313271950788,1.2957057570165196,0.04544627482959107,840.0,direct
recent_benchmark,Chronos2,conditional,common,global,4,840,840,840,840,1.0,9.307761817886716,14.4869486503547,88.02198402445055,0.32646540260657403,0.4612004983776088,0.6556715622177594,1.3103592838559832,0.045960240445906964,840.0,direct
final_audit,NeuralNet,conditional,common,global,3,630,630,630,630,1.0,15.399238662309159,28.25421942564178,63.855507887509255,0.300328773093978,0.3156240258641283,0.4953831624110377,-6.468179513869655,-0.12614782198984253,630.0,direct
final_audit,Chronos2,conditional,common,global,3,630,630,630,630,1.0,16.575806473928786,30.200963249561255,79.92972914542446,0.32327517811271816,0.3530892330730465,0.5629629724775739,-7.730114051273891,-0.15075911996726468,630.0,direct
