origin_type,strategy,model,n,nominal_interval_coverage,interval_coverage,interval_mean_width,interval_normalized_width,pinball_q10,empirical_q10,calibration_error_q10,pinball_q50,empirical_q50,calibration_error_q50,pinball_q90,empirical_q90,calibration_error_q90
development,direct,Chronos2,2393,0.8,0.7099874634350188,43.29986453693978,1.0556100963436184,3.2207755466111276,0.21395737567906395,0.11395737567906394,7.650517360839293,0.6163811115754283,0.1163811115754283,4.268955024565008,0.9218554116172168,0.021855411617216824
recent_benchmark,direct,Chronos2,840,0.8,0.7559523809523809,30.069620844296047,1.0546779201306393,1.9943295351664225,0.2,0.1,4.653880908943358,0.6047619047619047,0.10476190476190472,2.5591415301958715,0.9380952380952381,0.03809523809523807
final_audit,direct,Chronos2,630,0.8,0.7412698412698413,39.394205838158015,0.7682986000693295,3.2205761213151236,0.09047619047619047,-0.009523809523809532,8.287903236964393,0.43174603174603177,-0.06825396825396823,5.111615894257076,0.8317460317460318,-0.06825396825396823
